Verband,Regionalverband,Verein,Amtssprache,Besetzung
Solothurner Blasmusikverband,,Musikgesellschaft Fehren,DE,BB
Solothurner Blasmusikverband,,Musikgesellschaft Flumenthal,DE,H
Solothurner Blasmusikverband,,Musikgesellschaft Grindel,DE,BB
Solothurner Blasmusikverband,,Musikgesellschaft Günsberg,DE,BB
Solothurner Blasmusikverband,,Musikgesellschaft Gunzgen,DE,H
Solothurner Blasmusikverband,,Musikgesellschaft Härkingen,DE,H
Solothurner Blasmusikverband,,Concert Band Langendorf,DE,H
Solothurner Blasmusikverband,,Musikgesellschaft Lostorf,DE,H
Solothurner Blasmusikverband,,Musikgesellschaft Luterbach,DE,H
Solothurner Blasmusikverband,,Musikgesellschaft Lüterswil,DE,H
Solothurner Blasmusikverband,,Musikgesellschaft Matzendorf,DE,H
Solothurner Blasmusikverband,,Musikgesellschaft Messen,DE,H
Solothurner Blasmusikverband,,Musikgesellschaft Niederbuchsiten,DE,BB
Solothurner Blasmusikverband,,Musikgesellschaft Niedergösgen,DE,H
Solothurner Blasmusikverband,,Musikgesellschaft Oberdorf,DE,H
Solothurner Blasmusikverband,,Musikgesellschaft Obergösgen,DE,H
Solothurner Blasmusikverband,,Musikgesellschaft Recherswil,DE,H
Solothurner Blasmusikverband,,Musikgesellschaft Rodersdorf,DE,F/B
Solothurner Blasmusikverband,,Musikgesellschaft Rüttenen,DE,F/B
Solothurner Blasmusikverband,,Musikgesellschaft Schnottwil,DE,H
Solothurner Blasmusikverband,,Musikgesellschaft Schönenwerd,DE,H
Solothurner Blasmusikverband,,Musikgesellschaft Selzach,DE,H
Solothurner Blasmusikverband,,Musikgesellschaft Starrkirch-Wil,DE,H
Solothurner Blasmusikverband,,Musikgesellschaft Stüsslingen,DE,H
Solothurner Blasmusikverband,,Musikgesellschaft Subingen,DE,H
Solothurner Blasmusikverband,,Musikgesellschaft Trimbach,DE,BB
Solothurner Blasmusikverband,,Musikgesellschaft Wangen bei Olten,DE,H
Solothurner Blasmusikverband,,Musikgesellschaft Welschenrohr,DE,H
Solothurner Blasmusikverband,,Musikgesellschaft Brass Band Lommiswil,DE,BB
Solothurner Blasmusikverband,,Musikgesellschaft Eintracht Holderbank,DE,H
Solothurner Blasmusikverband,,Musikgesellschaft Eintracht Kestenholz,DE,H
Solothurner Blasmusikverband,,Musikgesellschaft Eintracht Wisen,DE,BB
Solothurner Blasmusikverband,,Musikgesellschaft Fridau Egerkingen,DE,H
Solothurner Blasmusikverband,,Brass Band Frohsinn Laupersdorf,DE,BB
Schweizerischer Brass Band Verband / Association suisse des Brass Bands,,Brass Band Frohsinn Laupersdorf,DE,BB
Solothurner Blasmusikverband,,Musikgesellschaft Frohsinn Neuendorf,DE,H
Solothurner Blasmusikverband,,Musikgesellschaft Harmonie Biberist,DE,H
Solothurner Blasmusikverband,,Musikgesellschaft Harmonie Büsserach,DE,H
Solothurner Blasmusikverband,,Musikgesellschaft Konkordia Aedermannsdorf,DE,BB
Solothurner Blasmusikverband,,Musikgesellschaft Konkordia Egerkingen,DE,H
Solothurner Blasmusikverband,,Musikgesellschaft Konkordia Mümliswil,DE,H
Solothurner Blasmusikverband,,Musikgesellschaft Konkordia Oberbuchsiten,DE,H
Solothurner Blasmusikverband,,Musikgesellschaft Oensingen,DE,H
Solothurner Blasmusikverband,,Musikgesellschaft Winznau,DE,BB
Solothurner Blasmusikverband,,Musikverein Gretzenbach,DE,BB
Solothurner Blasmusikverband,,Musikverein Herbetswil,DE,F/B
Solothurner Blasmusikverband,,Musikverein Hofstetten,DE,BB
Schweizerischer Brass Band Verband / Association suisse des Brass Bands,,Musikverein Hofstetten,DE,BB
Solothurner Blasmusikverband,,Brass Band Meltingen,DE,BB
Solothurner Blasmusikverband,,Musikverein Konkordia Kleinlützel,DE,BB
Solothurner Blasmusikverband,,Musikverein Concordia Dornach,DE,H
Solothurner Blasmusikverband,,Musikverein Harmonie Gerlafingen,DE,H
Solothurner Blasmusikverband,,Musikverein Konkordia Nunningen,DE,H
Solothurner Blasmusikverband,,Musikverein Konkordia Wolfwil,DE,H
Solothurner Blasmusikverband,,Musikverein Metzerlen,DE,BB
Solothurner Blasmusikverband,,StadtMusik Grenchen,DE,H
Solothurner Blasmusikverband,,Blaskapelle Konkordia Solothurn,DE,H
Solothurner Blasmusikverband,,Stadtmusik Olten,DE,H
Solothurner Blasmusikverband,,Stadtmusik Solothurn,DE,H
Solothurner Blasmusikverband,,Vereinsmusik Kriegstetten,DE,H
Société cantonale des musiques vaudoises,,L'Avenir Yverdon-les-Bains,FR,H
Société cantonale des musiques vaudoises,,La Concordia St-Triphon,FR,BB
Société cantonale des musiques vaudoises,,Corps de Musique de Pully,FR,BB
Société cantonale des musiques vaudoises,,Corps de musique d' Yvonand,FR,BB
Société cantonale des musiques vaudoises,,Corps de musique La Centenaire Champagne-Onnens,FR,F/B
Société cantonale des musiques vaudoises,,Corps de musique Montreux-Clarens Montreux,FR,H
Société cantonale des musiques vaudoises,,Echo de Corjon Rossinière,FR,BB
Société cantonale des musiques vaudoises,,Echo de la Plaine Noville,FR,BB
Société cantonale des musiques vaudoises,,Echo des Alpes Glion,FR,F/B
Société cantonale des musiques vaudoises,,Echo des Alpes Le Sépey,FR,F/B
Société cantonale des musiques vaudoises,,Echo des Alpes Ollon,FR,F/B
Société cantonale des musiques vaudoises,,Echo des Campagnes Rances-Valeyres,FR,H
Société cantonale des musiques vaudoises,,Fanfare de Gryon,FR,BB
Société cantonale des musiques vaudoises,,Echo des Forêts Le Pont,FR,BB
Société cantonale des musiques vaudoises,,Echo du Chêne Aubonne,FR,BB
Société cantonale des musiques vaudoises,,Echo du Chêne Pampigny,FR,F/B
Société cantonale des musiques vaudoises,,Echo du Jura Mollens,FR,F/B
Société cantonale des musiques vaudoises,,Echo du Mauremont La Sarraz,FR,H
Société cantonale des musiques vaudoises,,Echo du Mont Aubert Concise,FR,BB
Société cantonale des musiques vaudoises,,Echo du Nozon Juriens-Romainmôtier,FR,BB
Société cantonale des musiques vaudoises,,Ecole de Musique Nyon,FR,H
Schweizer Jugendmusikverband / Association suisse des musiques de jeunes,,Ecole de Musique Nyon,FR,H
Société cantonale des musiques vaudoises,,Ecole de musique de Rolle et Environs,FR,H
Société cantonale des musiques vaudoises,,Ensemble de cuivres The Friend's Band Villars-Mendraz,FR,BB
Société cantonale des musiques vaudoises,,Ensemble musical Nordsband Chamblon,FR,H
Société cantonale des musiques vaudoises,,Espérance Vaulion,FR,BB
Société cantonale des musiques vaudoises,,Fanfare Gilly-Bursins Gilly-Bursins,FR,BB
Société cantonale des musiques vaudoises,,Fanfare de Cheseaux-sur-Lausanne,FR,BB
Société cantonale des musiques vaudoises,,Fanfare Combremont-le-Grand,FR,BB
Société cantonale des musiques vaudoises,,Fanfare de Gimel,FR,BB
Société cantonale des musiques vaudoises,,Fanfare de Gland,FR,BB
Société cantonale des musiques vaudoises,,Union instrumentale du Le Mont-sur-Lausanne,FR,BB
Société cantonale des musiques vaudoises,,Fanfare St-Livres,FR,BB
Société cantonale des musiques vaudoises,,Fanfare de Yens,FR,F/B
Société cantonale des musiques vaudoises,,Fanfare de Crissier,FR,BB
Société cantonale des musiques vaudoises,,Fanfare Grandvaux,FR,F/B
Société cantonale des musiques vaudoises,,Fanfare de la Police cantonale Lausanne,FR,BB
Société cantonale des musiques vaudoises,,Fanfare de Lavey-Morcles,FR,F/B
Société cantonale des musiques vaudoises,,Les Cuivres du Mont-Tendre Montricher,FR,F/B
Société cantonale des musiques vaudoises,,Fanfare de Perroy,FR,H
Société cantonale des musiques vaudoises,,Harmonie d'Oron Oron-la-Ville,FR,H
Société cantonale des musiques vaudoises,,Fanfare du Jorat Mézières,FR,BB
Société cantonale des musiques vaudoises,,Fanfare Echo des Rochers Puidoux,FR,F/B
Société cantonale des musiques vaudoises,,Fanfare La Rose des Alpes Leysin,FR,F/B
Société cantonale des musiques vaudoises,,Fanfare Les Monts-de-Corsier,FR,BB
Société cantonale des musiques vaudoises,,Fanfare Argentine - Echo des Alpes Ollon Frenières - Les Plans,FR,F/B
Société cantonale des musiques vaudoises,,Fanfare municipale Aigle,FR,H
Société cantonale des musiques vaudoises,,Fanfare Chardonne-Jongny,FR,BB
Société cantonale des musiques vaudoises,,Fanfare municipale Etoy,FR,BB
Société cantonale des musiques vaudoises,,Fanfare municipale Mont-sur-Rolle,FR,BB
Société cantonale des musiques vaudoises,,Fanfare Municipale de Nyon,FR,H
Société cantonale des musiques vaudoises,,Fanfare Vétérans Vaudois Lausanne,FR,F/B
Société cantonale des musiques vaudoises,,"Harmonie du Pontet Vufflens, Mex, Villars",FR,H
Société cantonale des musiques vaudoises,,Harmonie L'Abeille Lucens,FR,H
Société cantonale des musiques vaudoises,,Harmonie lausannoise Lausanne,FR,H
Société cantonale des musiques vaudoises,,Harmonie municipale Epalinges,FR,H
Société cantonale des musiques vaudoises,,Harmonie municipale La Lyre Echallens,FR,H
Société cantonale des musiques vaudoises,,La Broyarde Granges-près-Marnand,FR,H
Société cantonale des musiques vaudoises,,La Clé d'Argent Renens,FR,H
Société cantonale des musiques vaudoises,,La Jurassienne Le Sentier,FR,H
Société cantonale des musiques vaudoises,,La Jurassienne Provence-Mutrux,FR,F/B
Société cantonale des musiques vaudoises,,La Lyre Avenches,FR,F/B
Société cantonale des musiques vaudoises,,La Lyre Begnins,FR,F/B
Société cantonale des musiques vaudoises,,Magali Muster Chavornay,FR,BB
Société cantonale des musiques vaudoises,,La Lyre Corcelles-près-Payerne,FR,F/B
Société cantonale des musiques vaudoises,,La Lyre Vevey,FR,H
Société cantonale des musiques vaudoises,,La Lyre Grandcour,FR,H
Société cantonale des musiques vaudoises,,La Lyre de Lavaux Cully,FR,H
Société cantonale des musiques vaudoises,,La Montagnarde Bullet,FR,BB
Société cantonale des musiques vaudoises,,La Montagnarde Château-d'Oex,FR,BB
Société cantonale des musiques vaudoises,,La Persévérance Cudrefin,FR,H
Société cantonale des musiques vaudoises,,La Persévérante Mont-la-Ville,FR,BB
Société cantonale des musiques vaudoises,,L'Echo de La Molombe Penthalaz-Daillens,FR,F/B
Société cantonale des musiques vaudoises,,Fanfare La Villageoise Pomy,FR,F/B
Société cantonale des musiques vaudoises,,Société de musique L'Avenir Belmont-sur-Lausanne,FR,H
Société cantonale des musiques vaudoises,,L'Avenir Payerne,FR,H
Société cantonale des musiques vaudoises,,La Lyre et École de musique Vallorbe-Ballaigues,FR,F/B
Société cantonale des musiques vaudoises,,L'Avenir d' Aclens,FR,BB
Société cantonale des musiques vaudoises,,L'Echo du Sauteruz Bercher-Vuarrens,FR,BB
Société cantonale des musiques vaudoises,,Société de musique St-Légier,FR,H
Société cantonale des musiques vaudoises,,Société de musique militaire Rougemont,FR,BB
Société cantonale des musiques vaudoises,,Union instrumentale Bex,FR,H
Société cantonale des musiques vaudoises,,Union instrumentale Forel-Lavaux,FR,BB
Société cantonale des musiques vaudoises,,Union instrumentale L'Auberson,FR,F/B
Société cantonale des musiques vaudoises,,Union instrumentale Moudon,FR,F/B
Société cantonale des musiques vaudoises,,Union instrumentale Payerne,FR,F/B
Société cantonale des musiques vaudoises,,Union instrumentale Ste-Croix,FR,H
Société cantonale des musiques vaudoises,,Union instrumentale de Prilly,FR,F/B
Société cantonale des musiques vaudoises,,Harmonie de Terre Sainte Coppet,FR,H
Société cantonale des musiques vaudoises,,Union Instrumentale Le Brassus,FR,H
Kantonaler Musikverband Wallis / Association cantonale des musiques valaisannes,,Musikgesellschaft Alpenrose Albinen,DE,BB
Kantonaler Musikverband Wallis / Association cantonale des musiques valaisannes,,Ambitus - Ensemble de Cuivres Orsières,FR,BB
Schweizerischer Brass Band Verband / Association suisse des Brass Bands,,Ambitus - Ensemble de Cuivres Orsières,FR,BB
Kantonaler Musikverband Wallis / Association cantonale des musiques valaisannes,,L'Avenir Bagnes,FR,BB
Kantonaler Musikverband Wallis / Association cantonale des musiques valaisannes,,L'Avenir Grimisuat-Champlan,FR,BB
Kantonaler Musikverband Wallis / Association cantonale des musiques valaisannes,,Brass Band 13 Etoiles Plan-Conthey,FR,BB
Schweizerischer Brass Band Verband / Association suisse des Brass Bands,,Brass Band 13 Etoiles Plan-Conthey,FR,BB
Kantonaler Musikverband Wallis / Association cantonale des musiques valaisannes,,Brass-Band Junior Valaisan Sion,FR,BB
Schweizerischer Brass Band Verband / Association suisse des Brass Bands,,Brass-Band Junior Valaisan Sion,FR,BB
Kantonaler Musikverband Wallis / Association cantonale des musiques valaisannes,,Fanfare Concordia Bagnes,FR,BB
Kantonaler Musikverband Wallis / Association cantonale des musiques valaisannes,,Cor des Alpes Montana,FR,BB
Kantonaler Musikverband Wallis / Association cantonale des musiques valaisannes,,Corps de musique Saxon,FR,BB
Kantonaler Musikverband Wallis / Association cantonale des musiques valaisannes,,Echo du Châtillon Massongex,FR,H
Kantonaler Musikverband Wallis / Association cantonale des musiques valaisannes,,Echo de la Dent Blanche Les Haudères,FR,BB
Kantonaler Musikverband Wallis / Association cantonale des musiques valaisannes,,Echo de la Montagne Champéry,FR,BB
Kantonaler Musikverband Wallis / Association cantonale des musiques valaisannes,,Echo de la Vallée Val-d'Illiez,FR,BB
Kantonaler Musikverband Wallis / Association cantonale des musiques valaisannes,,Echo der Bergler Eischoll,DE,H
Kantonaler Musikverband Wallis / Association cantonale des musiques valaisannes,,Echo des Alpes Vissoie,FR,F/B
Kantonaler Musikverband Wallis / Association cantonale des musiques valaisannes,,Echo des Bois Crans-Montana,FR,H
Kantonaler Musikverband Wallis / Association cantonale des musiques valaisannes,,Echo des Glaciers Vex,FR,BB
Kantonaler Musikverband Wallis / Association cantonale des musiques valaisannes,,Echo d'Orny Orsières,FR,BB
Kantonaler Musikverband Wallis / Association cantonale des musiques valaisannes,,Echo du Grammont Les Evouettes,FR,BB
Kantonaler Musikverband Wallis / Association cantonale des musiques valaisannes,,Echo du Jorat Evionnaz,FR,BB
Kantonaler Musikverband Wallis / Association cantonale des musiques valaisannes,,Fanfare Echo du Mont Aproz,FR,BB
Kantonaler Musikverband Wallis / Association cantonale des musiques valaisannes,,Echo du Mont-Noble Nax,FR,BB
Kantonaler Musikverband Wallis / Association cantonale des musiques valaisannes,,Echo du Prabé Savièse,FR,F/B
Kantonaler Musikverband Wallis / Association cantonale des musiques valaisannes,,Echo du Rawyl Ayent,FR,BB
Kantonaler Musikverband Wallis / Association cantonale des musiques valaisannes,,Echo du Trient Vernayaz,FR,F/B
Kantonaler Musikverband Wallis / Association cantonale des musiques valaisannes,,Ensemble de Cuivres Valaisan Sion,FR,BB
Schweizerischer Brass Band Verband / Association suisse des Brass Bands,,Ensemble de Cuivres Valaisan Sion,FR,BB
Kantonaler Musikverband Wallis / Association cantonale des musiques valaisannes,,"Edelweiss des Diablerets, Les Hauts de Conthey Erde/Conthey",FR,BB
Kantonaler Musikverband Wallis / Association cantonale des musiques valaisannes,,Etoile du Léman Le Bouveret,FR,BB
Kantonaler Musikverband Wallis / Association cantonale des musiques valaisannes,,Les Colombes Collombey,FR,F/B
Kantonaler Musikverband Wallis / Association cantonale des musiques valaisannes,,Ancienne Cécilia Chermignon,FR,BB
Kantonaler Musikverband Wallis / Association cantonale des musiques valaisannes,,La Concordia Nendaz,FR,BB
Kantonaler Musikverband Wallis / Association cantonale des musiques valaisannes,,Concordia Vétroz,FR,BB
Kantonaler Musikverband Wallis / Association cantonale des musiques valaisannes,,Concordia Saxon,FR,BB
Kantonaler Musikverband Wallis / Association cantonale des musiques valaisannes,,Edelweiss Orsières,FR,BB
Kantonaler Musikverband Wallis / Association cantonale des musiques valaisannes,,Fleur des Neiges Verbier,FR,BB
Kantonaler Musikverband Wallis / Association cantonale des musiques valaisannes,,Gebüdemalp Visperterminen,DE,H
Kantonaler Musikverband Wallis / Association cantonale des musiques valaisannes,,Helvétia Ardon,FR,BB
Kantonaler Musikverband Wallis / Association cantonale des musiques valaisannes,,Helvétia Isérables,FR,BB
Kantonaler Musikverband Wallis / Association cantonale des musiques valaisannes,,La Cécilia Ardon,FR,F/B
Kantonaler Musikverband Wallis / Association cantonale des musiques valaisannes,,La Cécilia Chermignon,FR,BB
Kantonaler Musikverband Wallis / Association cantonale des musiques valaisannes,,La Collongienne Collonges,FR,F/B
Kantonaler Musikverband Wallis / Association cantonale des musiques valaisannes,,La Concordia Miège,FR,H
Kantonaler Musikverband Wallis / Association cantonale des musiques valaisannes,,La Dixence Hérémence,FR,BB
Kantonaler Musikverband Wallis / Association cantonale des musiques valaisannes,,La Fraternité Liddes,FR,BB
Kantonaler Musikverband Wallis / Association cantonale des musiques valaisannes,,La Fraternité Noës,FR,BB
Kantonaler Musikverband Wallis / Association cantonale des musiques valaisannes,,La Gérondine Sierre,FR,H
Kantonaler Musikverband Wallis / Association cantonale des musiques valaisannes,,Société de Musique La Léonardine St-Léonard,FR,F/B
Kantonaler Musikverband Wallis / Association cantonale des musiques valaisannes,,Fanfare La Liberté Fully,FR,BB
Kantonaler Musikverband Wallis / Association cantonale des musiques valaisannes,,La Liberté Salins,FR,BB
Kantonaler Musikverband Wallis / Association cantonale des musiques valaisannes,,La Lyre Conthey,FR,BB
Kantonaler Musikverband Wallis / Association cantonale des musiques valaisannes,,La Grand Garde Saillon,FR,BB
Kantonaler Musikverband Wallis / Association cantonale des musiques valaisannes,,La Marcelline Grône,FR,BB
Kantonaler Musikverband Wallis / Association cantonale des musiques valaisannes,,La Perce-Neige Mase,FR,BB
Kantonaler Musikverband Wallis / Association cantonale des musiques valaisannes,,La Persévérance Leytron,FR,BB
Kantonaler Musikverband Wallis / Association cantonale des musiques valaisannes,,La Persévérante Plan-Conthey,FR,BB
Kantonaler Musikverband Wallis / Association cantonale des musiques valaisannes,,La Rosablanche Basse-Nendaz,FR,BB
Kantonaler Musikverband Wallis / Association cantonale des musiques valaisannes,,La Stéphania Granges,FR,F/B
Kantonaler Musikverband Wallis / Association cantonale des musiques valaisannes,,La Stéphania Sembrancher,FR,BB
Kantonaler Musikverband Wallis / Association cantonale des musiques valaisannes,,Harmonie la Villageoise Chamoson,FR,F/B
Kantonaler Musikverband Wallis / Association cantonale des musiques valaisannes,,La Villageoise Dorénaz,FR,BB
Kantonaler Musikverband Wallis / Association cantonale des musiques valaisannes,,La Villageoise Muraz-Collombey,FR,BB
Kantonaler Musikverband Wallis / Association cantonale des musiques valaisannes,,La Vouvryenne Vouvry,FR,F/B
Kantonaler Musikverband Wallis / Association cantonale des musiques valaisannes,,L'Abeille Riddes,FR,F/B
Kantonaler Musikverband Wallis / Association cantonale des musiques valaisannes,,L'Agaunoise St-Maurice,FR,BB
Kantonaler Musikverband Wallis / Association cantonale des musiques valaisannes,,L'Avenir Chalais,FR,H
Kantonaler Musikverband Wallis / Association cantonale des musiques valaisannes,,L'Avenir Chamoson,FR,BB
Kantonaler Musikverband Wallis / Association cantonale des musiques valaisannes,,L'Avenir Fully,FR,BB
Kantonaler Musikverband Wallis / Association cantonale des musiques valaisannes,,L'Avenir Isérables,FR,BB
Kantonaler Musikverband Wallis / Association cantonale des musiques valaisannes,,L'Avenir Saxon,FR,BB
Kantonaler Musikverband Wallis / Association cantonale des musiques valaisannes,,L'Avenir Sembrancher,FR,F/B
Kantonaler Musikverband Wallis / Association cantonale des musiques valaisannes,,L'Espérance Charrat,FR,BB
Kantonaler Musikverband Wallis / Association cantonale des musiques valaisannes,,L'Espérance Vionnaz,FR,BB
Kantonaler Musikverband Wallis / Association cantonale des musiques valaisannes,,L'Helvétienne Morgins,FR,BB
Kantonaler Musikverband Wallis / Association cantonale des musiques valaisannes,,Fanfare municipale Salvan,FR,F/B
Kantonaler Musikverband Wallis / Association cantonale des musiques valaisannes,,Edelweiss Martigny-Bourg,FR,F/B
Kantonaler Musikverband Wallis / Association cantonale des musiques valaisannes,,Fanfare de la Police cantonale valaisanne Sion,FR,BB
Kantonaler Musikverband Wallis / Association cantonale des musiques valaisannes,,La Rose des Alpes Savièse,FR,BB
Kantonaler Musikverband Wallis / Association cantonale des musiques valaisannes,,L'Union Vétroz,FR,BB
Kantonaler Musikverband Wallis / Association cantonale des musiques valaisannes,,Harmonie municipale Martigny,FR,H
Kantonaler Musikverband Wallis / Association cantonale des musiques valaisannes,,Harmonie municipale Sion,FR,H
Kantonaler Musikverband Wallis / Association cantonale des musiques valaisannes,,Harmonie municipale Monthey,FR,H
Kantonaler Musikverband Wallis / Association cantonale des musiques valaisannes,,Musikgesellschaft Kühmatt Baltschieder,DE,H
Kantonaler Musikverband Wallis / Association cantonale des musiques valaisannes,,La Contheysanne Aven/Conthey,FR,BB
Kantonaler Musikverband Wallis / Association cantonale des musiques valaisannes,,La Lyre de Monthey,FR,F/B
Kantonaler Musikverband Wallis / Association cantonale des musiques valaisannes,,La Persévérance Martigny-Combe,FR,F/B
Kantonaler Musikverband Wallis / Association cantonale des musiques valaisannes,,La Laurentia Bramois,FR,F/B
Kantonaler Musikverband Wallis / Association cantonale des musiques valaisannes,,Echo de Chippis,FR,F/B
Kantonaler Musikverband Wallis / Association cantonale des musiques valaisannes,,Les Gars du Rhône Sion,DE,F/B
Kantonaler Musikverband Wallis / Association cantonale des musiques valaisannes,,Musikgesellschaft Alpenglühn Ausserberg,DE,H
Kantonaler Musikverband Wallis / Association cantonale des musiques valaisannes,,Musikgesellschaft Bettmeralp Betten,DE,BB
Kantonaler Musikverband Wallis / Association cantonale des musiques valaisannes,,Musikgesellschaft Fafleralp Blatten,DE,BB
Kantonaler Musikverband Wallis / Association cantonale des musiques valaisannes,,Musikgesellschaft Alpengruss Embd,DE,BB
Kantonaler Musikverband Wallis / Association cantonale des musiques valaisannes,,Musikgesellschaft Alpengruss Grengiols,DE,H
Kantonaler Musikverband Wallis / Association cantonale des musiques valaisannes,,Musikgesellschaft Alpenrose Kippel,DE,BB
Kantonaler Musikverband Wallis / Association cantonale des musiques valaisannes,,Musikgesellschaft Alpina Wiler,DE,BB
Kantonaler Musikverband Wallis / Association cantonale des musiques valaisannes,,Musikgesellschaft Alpenrösli Saas-Fee,DE,H
Kantonaler Musikverband Wallis / Association cantonale des musiques valaisannes,,Musikgesellschaft Belalp Naters,DE,H
Kantonaler Musikverband Wallis / Association cantonale des musiques valaisannes,,Musikgesellschaft Benken Steg,DE,BB
Kantonaler Musikverband Wallis / Association cantonale des musiques valaisannes,,Musikgesellschaft Bleiken Simplon Dorf,DE,H
Kantonaler Musikverband Wallis / Association cantonale des musiques valaisannes,,Musikgesellschaft Brunegghorn Herbriggen,DE,H
Kantonaler Musikverband Wallis / Association cantonale des musiques valaisannes,,Musikgesellschaft Bryscheralp Mund,DE,H
Kantonaler Musikverband Wallis / Association cantonale des musiques valaisannes,,Musikgesellschaft Echo Raronia Raron & St. German,DE,H
Kantonaler Musikverband Wallis / Association cantonale des musiques valaisannes,,Musikgesellschaft Edelweiss St. Niklaus,DE,H
Kantonaler Musikverband Wallis / Association cantonale des musiques valaisannes,,Edelweiss Lens,FR,F/B
Kantonaler Musikverband Wallis / Association cantonale des musiques valaisannes,,Musikgesellschaft Eggishorn Fiesch,DE,H
Kantonaler Musikverband Wallis / Association cantonale des musiques valaisannes,,Musikgesellschaft Elite Niedergampel,DE,BB
Kantonaler Musikverband Wallis / Association cantonale des musiques valaisannes,,Musikgesellschaft Enzian Erschmatt,DE,BB
Kantonaler Musikverband Wallis / Association cantonale des musiques valaisannes,,Musikgesellschaft Enzian Saas-Grund,DE,H
Kantonaler Musikverband Wallis / Association cantonale des musiques valaisannes,,Findneralp Eggerberg,DE,BB
Kantonaler Musikverband Wallis / Association cantonale des musiques valaisannes,,Musikgesellschaft Frid Ernen,DE,H
Kantonaler Musikverband Wallis / Association cantonale des musiques valaisannes,,Musikgesellschaft 'Galmihorn' Münster,DE,BB
Kantonaler Musikverband Wallis / Association cantonale des musiques valaisannes,,Musikgesellschaft Gemmi Leukerbad,DE,H
Kantonaler Musikverband Wallis / Association cantonale des musiques valaisannes,,Musikgesellschaft Glishorn Glis,DE,H
Kantonaler Musikverband Wallis / Association cantonale des musiques valaisannes,,Musikgesellschaft Hannigalp Grächen,DE,H
Kantonaler Musikverband Wallis / Association cantonale des musiques valaisannes,,Musikgesellschaft Harmonie Stalden,DE,H
Kantonaler Musikverband Wallis / Association cantonale des musiques valaisannes,,Harmonie Salgesch,DE,H
Kantonaler Musikverband Wallis / Association cantonale des musiques valaisannes,,Musikgesellschaft Illhorn Susten,DE,H
Kantonaler Musikverband Wallis / Association cantonale des musiques valaisannes,,Musikgesellschaft Konkordia Varen,DE,H
Kantonaler Musikverband Wallis / Association cantonale des musiques valaisannes,,Musikgesellschaft Lauduna Lalden,DE,BB
Kantonaler Musikverband Wallis / Association cantonale des musiques valaisannes,,Musikgesellschaft Leuca Leuk-Stadt,DE,BB
Kantonaler Musikverband Wallis / Association cantonale des musiques valaisannes,,Lonza Gampel,DE,H
Kantonaler Musikverband Wallis / Association cantonale des musiques valaisannes,,Musikgesellschaft Matterhorn Zermatt,DE,H
Kantonaler Musikverband Wallis / Association cantonale des musiques valaisannes,,Musikgesellschaft Mattmark Saas-Almagell,DE,H
Kantonaler Musikverband Wallis / Association cantonale des musiques valaisannes,,Musikgesellschaft Minerva Ferden,DE,BB
Kantonaler Musikverband Wallis / Association cantonale des musiques valaisannes,,Musikgesellschaft Richenenalp Bellwald,DE,H
Kantonaler Musikverband Wallis / Association cantonale des musiques valaisannes,,Musikgesellschaft Ronalp Bürchen,DE,BB
Kantonaler Musikverband Wallis / Association cantonale des musiques valaisannes,,Musikgesellschaft Saflisch Termen,DE,H
Kantonaler Musikverband Wallis / Association cantonale des musiques valaisannes,,Musikgesellschaft Simplon Ried-Brig,DE,H
Kantonaler Musikverband Wallis / Association cantonale des musiques valaisannes,,Musikgesellschaft Sonnenberg Törbel,DE,BB
Kantonaler Musikverband Wallis / Association cantonale des musiques valaisannes,,Musikgesellschaft Täschalp Täsch,DE,F/B
Kantonaler Musikverband Wallis / Association cantonale des musiques valaisannes,,Viktoria Turtmann,DE,BB
Kantonaler Musikverband Wallis / Association cantonale des musiques valaisannes,,Musikgesellschaft Vispe Visp,DE,H
Kantonaler Musikverband Wallis / Association cantonale des musiques valaisannes,,Weisshorn Randa,DE,H
Kantonaler Musikverband Wallis / Association cantonale des musiques valaisannes,,Les Enfants des 2 Républiques Saint-Gingolph,FR,BB
Kantonaler Musikverband Wallis / Association cantonale des musiques valaisannes,,Blasorchester Stadtmusik Saltina Brig,DE,H
Kantonaler Musikverband Wallis / Association cantonale des musiques valaisannes,,Union instrumentale Leytron,FR,BB
Kantonaler Musikverband Wallis / Association cantonale des musiques valaisannes,,Union instrumentale Liddes,FR,F/B
Kantonaler Musikverband Wallis / Association cantonale des musiques valaisannes,,Union Instrumentale Troistorrents,FR,BB
Kantonaler Musikverband Wallis / Association cantonale des musiques valaisannes,,Union instrumentale Ayent,FR,BB
Akkordeon Schweiz,,AC Berneck Berneck,DE,
Appenzeller Blasmusikverband,,Musikgesellschaft Harmonie Appenzell,DE,H
Appenzeller Blasmusikverband,,Musikgesellschaft Brülisau,DE,BB
Appenzeller Blasmusikverband,,Musikgesellschaft Bühler,DE,H
Appenzeller Blasmusikverband,,Musikgesellschaft Gais Gais,DE,BB
Appenzeller Blasmusikverband,,Bürgermusik Gonten,DE,BB
Appenzeller Blasmusikverband,,Musikgesellschaft Grub AR,DE,BB
Appenzeller Blasmusikverband,,Musikgesellschaft Haslen,DE,BB
Schweizerischer Brass Band Verband / Association suisse des Brass Bands,,Musikgesellschaft Haslen,DE,BB
Appenzeller Blasmusikverband,,Musikverein Herisau,DE,H
Appenzeller Blasmusikverband,,Musikgesellschaft Hundwil,DE,H
Appenzeller Blasmusikverband,,Musikverein Lutzenberg,DE,F/B
